AI-Assitant,Description,Category,Link
BabyAgi.txt,Creative guidance meets efficient task management in your trusty assistant,Productivity,https://chat.openai.com/g/g-lzbeEOr9Y
TL;DR,Instant writing wizard: Enter any URL; receive a succinct summary of its text content,"Productivity, Website",https://chat.openai.com/g/g-XrwZyE9OZ
CodeCopilot,Code Copilot; your pair programming assistant,Productivity,https://chat.openai.com/g/g-2DQzU5UZl
Logo Maker,Design maestro crafting professional; high-quality PNGs for your business,Website,https://chat.openai.com/g/g-Mc4XM2MQP
Gif-PT,Design guru and programming virtuoso: Creates dynamic GIFs using DALL·E3 for spritesheets; with a coding twist for slicing and animation,Productivity,https://chat.openai.com/g/g-gbjSvXu6i
DevHunt,Your programming playground: Discover and launch your next favorite dev tools with us,Website,https://chat.openai.com/g/g-7zRO0y5cW-devhunt
Tweet Reply,Social maestro crafting engaging tweet responses that captivate and connect,Marketing,https://chat.openai.com/g/g-38ZTJlXKJ-tweet-reply
Emailgeeks,An expert on email marketing,Marketing,https://chat.openai.com/g/g-IpYeySKKw-emailgeeks
PlaylistAI: Spotify,Audio alchemist: Craft Spotify playlists for any prompt with ease,"Music, Productivity",https://chat.openai.com/g/g-KkxbQAVuk-playlistai-spotify
Good News Concierge,Web navigator with a marketing twist: I uncover positive news stories just for you,Marketing,https://chat.openai.com/g/g-0ZTu1ojV3-good-news-concierge
LifeOS,Your trusty assistant for setting goals and building effective routines,Productivity,https://chat.openai.com/g/g-Lmt2TBepG-lifeos
Language Coach,Education ally: Master speaking a new language like a local; no matter where you are,Language Learning,https://chat.openai.com/g/g-0g6ZdEtv6-language-coach
Simpsonize Me,Design magician: Transform photos into charming Simpsons-style art with flai,"Artistic, Productivity",https://chat.openai.com/g/g-tcmMldCYy-simpsonize-me
ScholarAI,ScholarAI - Your Research Assistant ; unlock scientific research from over 200M papers,"Productivity, Market research",https://chat.openai.com/g/g-L2HknCZTC-scholarai
Semiotic Engine,semiotic theory & analysis,Productivity,https://chat.openai.com/g/g-413R7Lc48-semiotic-engine
Developer Doc Search,Programming made seamless with Developer Doc Search - effortlessly explore thousands of open source packages and their GitHub documentation. Your gateway to the world of Open Source development,Productivity,https://chat.openai.com/g/g-AINygIiYy-developer-doc-search
Blog Expert,Elevate your marketing game with an SEO blog content creator; blending keyword expertise with engaging writing. Unlock the power of strategic content for impactful marketing results,Marketing,https://chat.openai.com/g/g-PWizFQk8C-blog-expert
AI Websites,Create a professional website on a domain with blog/payment/scheduling pages in 60 seconds,#ERROR!,https://chat.openai.com/g/g-WTUuSzTOj-ai-websites
Copywriter Assistant,I am here to help improve and refine your copywriting.,"Marketing, Productivity",https://chat.openai.com/g/g-BLXN541o5-copywriter-assistant
Storyteller,Crafting tales with a unique blend of vision and DALL-E magic; this storyteller seamlessly weaves writing and design into captivating narratives. Elevate your storytelling experience,"Marketing, Productivity, Website",https://chat.openai.com/g/g-dmgFloZ5w-storyteller
Salvador,Salvador: where design meets the extraordinary. A visionary creator blending artistic flair with the magic of DALL-E. Elevate your design experience with Salvador,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-6iEq5asfX-salvador
Kraftful,Your product coach. Ask about best practices. Get top gurus' product thinking.,"Productivity, Business advice",https://chat.openai.com/g/g-jtefpmdjS-kraftful
Bike GPT,Your go-to assistant for bike care and cycling expertise. From repairs to upgrades; I've got you covered. Let's elevate your cycling experience together,"Productivity, Website",https://chat.openai.com/g/g-2ncsFIDY6-bike-gpt
Search Parliamentary Proceedings AI,Empower your research with the ability to search and explore parliamentary proceedings through news and text information. Uncover insights effortlessly,Market research,https://chat.openai.com/g/g-mQ9E8rCzZ-guo-hui-yi-shi-lu-jian-suo-for-gpts
RubyGPT,Your Ruby programming assistant.,Productivity,https://chat.openai.com/g/g-ASMq03VdH-rubygpt
The Art of War,Unlock the wisdom of 'The Art of War' with an educational twist. Your hobby of strategic thinking gets a boost with a dedicated interpreter at your service,Productivity,https://chat.openai.com/g/g-pzTavd88i-sun-zi-bing-fa-ge-jia-jie-shuo
YT Summarizer,YouTube Video Summarizer- Saves a lot of screen time by summarizing YouTube videos with timestamps.,Productivity,https://chat.openai.com/g/g-dHRRUFODc-yt-summarizer
Thumbnail Sketcher,Elevate your writing with captivating design! I specialize in creating blog thumbnails that grab attention and complement your content seamlessly,"Marketing, Website",https://chat.openai.com/g/g-Cw11sym4k-thumbnail-sketcher
Automation Consultant,Automation Assistant - Discover opportunities to save time with automation at work and get them setup for you.,Productivity,https://chat.openai.com/g/g-ERKZdxC6D-automation-consultant-by-zapier
GPT Cookbook Assistant,GPT Cookbook Assistant- Enhanced with OpenAI API reference recipes and guides,Productivity,https://chat.openai.com/g/g-0CJGM4hMw-gpt-cookbook-assistant
AlphaNotes,Transform YouTube videos or web articles into your personal study guide; making learning efficient and enjoyable.,Productivity,https://chat.openai.com/g/g-ZdfrSRAyo-alphanotes-gpt
Pilot Mentor,Navigate aeronautical knowledge effortlessly. Tailored for students and pilots seeking comprehensive education in aviation,"Productivity, Education",https://chat.openai.com/g/g-TrU25ecw9-pilot-mentor
Prompt Perfect,Your precision assistant - automatically refining prompts for accuracy and clarity. Elevate your interactions with seamless assistance,Productivity,https://chat.openai.com/g/g-0QDef4GiE-prompt-perfect
Promptest,Promptest - Your prompt writing teacher. Craft better prompts by using /enhance; /feedback before a prompt. Skill up by submitting /brainstorm or /workout.,Productivity,https://chat.openai.com/g/g-jFIhnDtGV-promptest
Perfect Chirp,Transform ideas into banger tweets in seconds. Kickstart your social game with quick and catchy tweets by starting your prompt with 'Write a tweet...',"Marketing, Productivity",https://chat.openai.com/g/g-Mwca64W4q-perfect-chirp
AGI Pulse Monitor,AGI Pulse Monitor - Stay informed on AGI - with the latest; most relevant news.,"Marketing, Productivity",https://chat.openai.com/g/g-CmcPT2Xf9-agi-pulse-monitor
Vision Weaver,Your creative visual combiner; transforming ideas into stunning designs. Elevate your projects with a touch of imaginative flair,"Marketing, Productivity",https://chat.openai.com/g/g-hrjST3xq9-vision-weaver
Age Sage,Age Sage Assistant. Delve into the intricate details of time's tale with precision. Your hobby; my expertise,Productivity,https://chat.openai.com/g/g-3ofhyPBR2-age-sage
GPT Creator,GPT Creator - I guide users in creating their own GPT.,Productivity,https://chat.openai.com/g/g-mMVQXFIGp-gpt-creator
Prompt Polisher,I refine prompts as ChatGPT's assistant; enhancing the AI experience and beyond,Productivity,https://chat.openai.com/g/g-YJOIJ0EMz-prompt-polisher
Daily Digest Dispatcher,Daily Digest Dispatcher - I'm a diligent news reporter keeping you informed.,"Marketing, Productivity",https://chat.openai.com/g/g-xyjagpZj8-daily-digest-dispatcher
Amazon Scout,Your expert assistant in finding Amazon products. Precision in research; guiding your perfect discovery,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-0M42Pb2fg-amazon-scout
Code Whisperer,Expert in decoding with geeky flair. Unveiling the secrets of programming with insider know-how. Your key to a tech-savvy education,"Productivity, Website",https://chat.openai.com/g/g-nMbWE7g9I-code-whisperer
Grok Genius,Grok Genius - Your based AI alternative; the trusted assistant for smarter interactions,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-3D497JVJg-grok-genius
Chainstack GPT,Empowering natural language interaction with EVM blockchains through Chainstack's infrastructure. Your web3 programming assistant; simplified,Productivity,https://chat.openai.com/g/g-ueMUdZAzr-chainstack-gpt
Logo Crafter,I generate logo ideas for businesses; crafting designs with creative finesse,"Marketing, Productivity",https://chat.openai.com/g/g-V1gmo4BLP-logo-crafter
Sen's Powershell Helper,Windows PowerShell expert providing scripting guidance. Your go-to guide for seamless programming,Productivity,https://chat.openai.com/g/g-p4QSndh32-sen-s-powershell-helper
Code Medica,I'm your medical AI research partner; blending expertise with assistant support for impactful medical breakthroughs,"Productivity, Market research",https://chat.openai.com/g/g-zVSzSYcu9-code-medica
Sen's Excel Helper,Sen's Excel Helper - Excel expert assistant,Productivity,https://chat.openai.com/g/g-b2BSBtDWm-sen-s-excel-helper
Sen's Tail Coder,Coding expert and beginner-friendly teacher. Navigating the world of programming with a touch of educational flair,Productivity,https://chat.openai.com/g/g-ud9O3EIiE-sen-s-tail-coder
Sen's Discord Bot Helper,Discord bot dev expert; crafting programming magic for seamless server experiences,Productivity,https://chat.openai.com/g/g-wvj7QLyb2-sen-s-discord-bot-helper
OccybyteGPT,"OccybyteGPT will help you with all the things about the IP I created; """"Terminium Compendium"""".","Sales, Productivity, Website",https://chat.openai.com/g/g-enSnFE02m-occybytegpt
CVEs,Look up Common Vulnerabilities and Exposures (CVEs) with programming precision at your fingertips,Productivity,https://chat.openai.com/g/g-HQaKYlJhk-cves
Gerrit for Chromium,Search Gerrit Code Review for Google Chrome. Your programming companion for analyzing code changes; bugs; features; and more. Dive into research effortlessly,"Productivity, Website, Market research",https://chat.openai.com/g/g-pZuDJQ8jU-gerrit-for-chromium
Interview Coach,Interview coach provides practice interview and mock interview feedback,"1. Productivity
2. Business advice",https://chat.openai.com/g/g-Br0UFtDCR-interview-coach
GPT Idea Roller,Sparking joy with AI brainwaves! Your joyful assistant in the world of possibilities.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-Trn2CdMYk-gpt-idea-roller
TeleBoost AI,Telecom expense management assistant,"Sales, Productivity",https://chat.openai.com/g/g-gF1oXCXHH-teleboost-ai
Pill Pal,Your friendly pill organizer assistant,Productivity,https://chat.openai.com/g/g-oHDhbozdt-pill-pal
Academic Pathfinder,Your ally for university applications. Education made easier with a dedicated assistant by your side,"Education, Productivity",https://chat.openai.com/g/g-UogOdWQij-academic-pathfinder
MelodAi,I assist with songwriting; harmonizing your ideas into audio brilliance,Productivity,https://chat.openai.com/g/g-Bkt7GdsK5-melodai
Headshot Advisor,Rate your acting headshots based on roles and get feedback to make it better. Your education and coaching hub for headshot perfection,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-Eixla5zLt-headshot-advisor
Hormozi GPT,Sales & Marketing Advisor,"Sales, Marketing",https://chat.openai.com/g/g-zuHCfIs9y-hormozi-gpt
Sketchy,Create black and white sketches that seamlessly blend into white backgrounds. Your design muse for classic simplicity,Website,https://chat.openai.com/g/g-CnOedusqb-sketchy
Logo Muse,I design minimalistic logos.,"Sales, Marketing, Website",https://chat.openai.com/g/g-ngZtNTjyx-logo-muse
OpenAI API Docs,Proficient in leveraging OpenAI API Documentation and CookBook for seamless web integration and programming tasks,Productivity,https://chat.openai.com/g/g-I1XNbsyDK
YT transcriber,this transcribes a YT video from a single id,Productivity,https://chat.openai.com/g/g-Xt0xteYE8-yt-transcriber
Canva,Effortlessly design anything: presentations; logos; social media posts and more.,"Marketing, Productivity, Website",https://chat.openai.com/g/g-alKfVrz9K-canva
HenriquesLab Writing,Academic writing aid in Henriques's style,Productivity,https://chat.openai.com/g/g-3Fsbpgl8u-henriqueslab-style-writing-assistant
DocuBubble Logic Expert,Evaluates logic with engineering precision,Productivity,https://chat.openai.com/g/g-KZyZmRjQm-docububble-assistant
Maria MoneyWise,Your expert guide in financial writing; blending in-depth economic insights with engaging; clear content.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-o6js6YqlY-maria-moneywise
PlainSpeak,Translates corporate speak into plain English.,Productivity,https://chat.openai.com/g/g-abcvK2crW-plainspeak
GitMaxd’s Onboarding Email Generator,I create SaaS onboarding emails.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-aOFxPmeBQ-gitmaxds-onboarding-email-generator
Receipt Assistant,Your efficient receipt processing buddy,Productivity,https://chat.openai.com/g/g-WEi7DGCb3-receipt-assistant
Python Pal,Python dev assistant for coding questions.,Productivity,https://chat.openai.com/g/g-EMpawNB7G-python-pal
C.A.P.A.B.L.E. GPT,An educational GPT designed to help you prepare for CFA/ CSM/ CEH/ AWS/ CDS/ PMP/ AzureSolArcExp/ Hootsuite/ CCNA/ SixSigmaGreenBlt/ GoogleAdsCert/ HubspotCert/ CPA/ SHRM-CP/ PE(Civil Engineering)/ ITIL/ Fdn/ CDP/ CISSP/ CCNA/ CISA,"Education, Professional Certification, Information Technology",https://chat.openai.com/g/g-ENiPCCo3I-exam-and-certification-tutor-c-a-p-a-b-l-e-gpt
Text Game Engine,Versatile text game engine.,Productivity,https://chat.openai.com/g/g-CKCTfzTi2-text-game-engine
Quentin Tarantino,Transforms images into Tarantino's style.,Website,https://chat.openai.com/g/g-T73G3ER04-art-style-quentin-tarantino
Brand Content Generator,I assist with generating advertising and branding materials.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-fTVg68CLm-brand-content-generator
Vacation Planner,I create travel itineraries based on your preferences.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-XeYTWNSme-vacation-planner
Stock Image Generator,I guide stock image creation.,"Marketing, Productivity",https://chat.openai.com/g/g-2BLkATOEr-stock-image-generator
Photoshoop,Guided image assistant,Website,https://chat.openai.com/g/g-DH6E9xkU7-photoshoop
Call-Flow,You can verify phone numbers and see the top scam calls in your area,Productivity,https://chat.openai.com/g/g-z4FfgT7Q8-call-flow
Cognitive Coach,Memory training and cognitive skill enhancer,Productivity,https://chat.openai.com/g/g-Yas2WSu7S-cognitive-coach
What Would Chuck Do,He does not provide a solution. He is the solution.,Sales,https://chat.openai.com/g/g-roeu5JH33-what-would-chuck-do
Code Mentor,Expert React/TypeScript dev and teacher; guides in debugging.,Productivity,https://chat.openai.com/g/g-RebirpTgg-code-mentor
AI2sql,I generate SQL queries for database management.,Productivity,https://chat.openai.com/g/g-hKdeP1Dou-ai2sql
Expert AI Consultant,Easily learn how you can use ChatGPT and AI in your current job.,Productivity,https://chat.openai.com/g/g-pphsHvpFG-expert-ai-consultant
Tweet AI,Rewrite tweet that are likely to go viral in twitter! Just type what you want to tweet,Marketing,https://chat.openai.com/g/g-ZPYWEYt5w-tweet-ai
UX Design Mentor,I provide specific UX or Product Design feedback.,Productivity,https://chat.openai.com/g/g-aQ2BRJZTV-ux-design-mentor
DigComp Quiz Master,Quiz creator for DigComp 2.2,Productivity,https://chat.openai.com/g/g-UQJ2ufiox-digcomp-quiz-master
Clinical Medicine Handbook,Your medical concept guide.,Productivity,https://chat.openai.com/g/g-byG64QRaW-clinical-medicine-handbook
Professional LI Post Writer,Professional and compelling LinkedIn posts,Marketing,https://chat.openai.com/g/g-Z4Z3dVrjT-professional-li-post-writer
Slide Deck Builder,I craft slide decks.,Productivity,https://chat.openai.com/g/g-0QQyby0Vj-slide-deck-builder
MidJourney Prompt Generator,The most advanced MidJourney Prompt Generator,Productivity,https://chat.openai.com/g/g-MUJ3zHjvn-midjourney-prompt-generator
Anxiety Coach,Recognize / manage / cope. Works well with GPT-Voice.,Productivity,https://chat.openai.com/g/g-DFVXMwXTh-anxiety-coach
PM Prep Partner,Your PM interview coach.,Productivity,https://chat.openai.com/g/g-fxlKzxlmh-pm-prep-partner
Daily Techs,Get your daily dose of AI; tech and science news in easy-to-digest reads Stay updated; simply.,"Marketing, Productivity",https://chat.openai.com/g/g-TWpTyQhI7-daily-tech-read
Svenska Skatteassistenten,Swedish tax expert who helps with tax returns and tax issues.,"Sales, Business advice",https://chat.openai.com/g/g-caCXGWq48-svenska-skatteassistenten
Advocatus Diaboli,I rigorously test your ideas.,Productivity,https://chat.openai.com/g/g-B04TTULVT-advocatus-diaboli
Hire Guide,Recruitment consultant aiding in applicant review and tracking of the hiring process,"1. Productivity
2. Business advice",https://chat.openai.com/g/g-3i3B0R0vQ-hire-guide
Habit Mastery,Your habit-forming coach,Productivity,https://vensy.gumroad.com/l/habit-gpt
Pic-book Artist,I can create beautiful picture comic books for you; just need simple ideas and get the perfect work,Productivity,https://chat.openai.com/g/g-wJVjE9bQs-pic-book-artist
SPARK,Generate Incredible Images with Optimized Instructions and Presets for Dall-e 3,Productivity,https://chat.openai.com/g/g-MmeidA8H2-image-boost-utopia
Brand Safety Audit,Get a detailed risk analysis for public relations; marketing and internal communications; identifying challenges and negative impacts to refine your messaging strategy.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-sgNeJ20SL-brand-safety-audit
Signal Maestro,In-depth Signal Theory Assistant,Productivity,https://chat.openai.com/g/g-BugikbXKW-signal-maestro
Nutrition Insight,Estimates calories and advises on foods.,Productivity,https://chat.openai.com/g/g-v1bm9D38A-nutrition-insight
Code Coach,Your mentor for landing a software job.,Business advice,https://chat.openai.com/g/g-X62QPtFD3-code-coach
FFmpeg Helper,FFmpeg tool assistant with practical tips.,Productivity,https://chat.openai.com/g/g-h4CuCyOcm-ffmpeg-helper
Anfield Chat,Your go-to source for all things Liverpool FC.,Website,https://chat.openai.com/g/g-EWeRx3xam-anfield-chat
AI News Navigator,Get the latest AI news in chatbot form.,Marketing,https://chat.openai.com/g/g-Yqe2BgTVs-ai-news-navigator
Data Cleaner,I clean and explain data.,Productivity,https://chat.openai.com/g/g-kiB6Ki3qh-data-cleaner
The Winding Road,Explore The Beatles' universe with 'Winding Road'; where every tune has a tale; every lyric a legacy. Discover podcasts/ films/ chords and cultural echoes of the Fab Four.,Website,https://chat.openai.com/g/g-OJwrKISbN-the-winding-road
Unity GPT,I write C# code and respond to inquiries about Unity. My database knowledge is refreshed daily with new; functional code snippets and information. If necessary I can search the web to provide more accurate answers,"Productivity, Website",https://chat.openai.com/g/g-YDkPh1fun-unity-gpt
SEO Mentor,SEO mentor aligned with Google's best practices,Marketing,https://chat.openai.com/g/g-QqvewXqPt-seo-mentor
Voyage Guide,I craft personalized travel plans.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-MDExvbFqe-voyage-guide
Credit Card Matchmaker,Interactive credit card advisor,Sales,https://chat.openai.com/g/g-zASWMYXBt-credit-card-matchmaker
Code Critic Gilfoyle,Gilfoyle-style coding sidekick,Productivity,https://chat.openai.com/g/g-VmzCWnc46-code-critic-gilfoyle
Fake News!,Analyzes content & cites sources,Productivity,https://chat.openai.com/g/g-i8fvpAKWm-fake-news
Jude AI,Your go-to expert for real estate.,"Sales, Marketing",https://chat.openai.com/g/g-i0b812Alb-jude-ai-the-real-estate-gpt
Trader,Trade Any Asset / Crypto / Stocks Commodities. You Name it!,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-0StMub6wV-trader
HACCP Helper,Assists in the creation of HACCP plans.,Productivity,https://chat.openai.com/g/g-V00Q1P07M-haccp-helper
Meal Planner,Helps you plan your weight loss goals.,Productivity,https://chat.openai.com/g/g-VA2ApAENM-meal-planner
Diffusion Master,Master of Stable Diffusion prompts.,Productivity,https://chat.openai.com/g/g-FMXlNpFkB-diffusion-master
UI/UX Designer,Help with creative problem solving. Advice; design critiques and suggestions to improve the user interface and experience.,"Productivity, Website",https://chat.openai.com/g/g-pgNRpHOlg-ui-ux-designer
Regex Wizard,Generates VS Code regex patterns.,Productivity,https://chat.openai.com/g/g-rS3dlyjTQ-regex-wizard
VisaBot,I assist with visa requirements and processes.,"Sales, Productivity",https://chat.openai.com/g/g-I9cwVUlV0-visabot
CiteMaster,Guides users in creating accurate citations.,Productivity,https://chat.openai.com/g/g-7DoRLNVWE-citemaster
Code to Diagrams Generator,Turns code into diagrams swiftly.,Productivity,https://chat.openai.com/g/g-M6Mj1oMgI-code-to-diagrams-generator
TrollGPT,Everyday productivity for the professional troll,Productivity,https://chat.openai.com/g/g-kbFHsdToN-trollgpt
IELTS Coach,IELTS tutor aiding in exam prep,Education,https://chat.openai.com/g/g-EPlBPzqvz-ielts-coach
JIRA Guide,Atlassian product suite expert.,Productivity,https://chat.openai.com/g/g-mZERjI2j2-jira-guide
Movetogermany.ai,Expert on study and work immigration to Germany,Business advice,https://chat.openai.com/g/g-H2Zy9dnaA-movetogermany-ai
Hello Novel,I'm your personal writing coach. Click a conversation starter below to get started.,Productivity,https://chat.openai.com/g/g-ZZnAKCk27-hello-novel
Brief GPT,Short to-the-point answers.,Productivity,https://chat.openai.com/g/g-k5LhTMB6d-briefgpt
Viral Tweet Crafter,I turn any input into a viral tweet in your tone. Publish instantly with just a click.,Marketing,https://chat.openai.com/g/g-asjT98uiQ-viral-tweet-crafter
GymStreak Workout Creator,Automatically create home and & gym workouts (Also available as app on the AppStore),Productivity,https://chat.openai.com/g/g-TVDhLW5fm-gymstreak-workout-creator
Gym Workout Creator,Crafts personalized gym workouts,Productivity,https://chat.openai.com/g/g-IEA8GaRyJ-gym-workout-creator
World Class Software Engineer,Software Engineering Aid. Build software fast. Use a SRS document for optimal results. Textbook Backed Decision making.,"Productivity, Website",https://chat.openai.com/g/g-kLwmWO80d-world-class-software-engineer
Code Sage - Python,Python Master - Teaching and creating code examples.,Productivity,https://chat.openai.com/g/g-n0VrqOaF1-code-sage
The Greatest Computer Science Tutor,Get unique help on undergrad/postgrad Computer Science Topics. Learn not memorize. Codes the path to CS insights.,Productivity,https://chat.openai.com/g/g-nNixY14gM-the-greatest-computer-science-tutor
Disclosuregpt,Expert in real estate disclosures analysis.,"Sales, Productivity, Business advice",https://chat.openai.com/g/g-4mfObcph1-disclosuregpt
Doc Maker,Create and export docs to PDF / Word / Google Drive and more,Productivity,https://chat.openai.com/g/g-Gt6Z8pqWF-doc-maker
Web Reader,Read and search data from URL link to website / webpage. Supports PDF / Word files / Excel / CSV / Google Drive and more,"Website, Productivity, Business advice",https://chat.openai.com/g/g-N2SX91z7G-web-reader
StoicGPT,Dishing out sage stoic advice to the masses; one letter to Lucillius at a time,Business advice,https://chat.openai.com/g/g-sHZQX848p-stoicgpt
MnemoMind,I create memorable mnemonics! - Boost Memory with MnemoMind: Your Mnemonic Assistant,Productivity,https://chat.openai.com/g/g-6KgPZM9jC-mnemomind
Automation Assistant,Business Automation Wizard,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-XuM6RrHFn-asistente-de-automatizacion
JavaScript Guru,Teaching and creating code examples.,Productivity,https://chat.openai.com/g/g-umXSllbmV-javascript-guru
Sermon Assistant,Your sermon-building partner.,Productivity,https://chat.openai.com/g/g-YZOk95ccK-sermon-assistant
Excel Brother,Upload your excel file and ask me a question. You can also paste a screenshot. I'll answer anything; okay?,"Based on the description provided, the AI-assistant should be categorized under 'Sales', 'Marketing', and 'Productivity'.",https://chat.openai.com/g/g-3QDfmGlY8-excel-brother
QuizGPT,I create MCQs from lectures; grade and make flashcards.,Productivity,https://chat.openai.com/g/g-a6rXXIir8-quizgpt
Apple Product Helper,Apple product expert at your service.,"Sales, Productivity",https://chat.openai.com/g/g-IqW3t3Oyg-apple-product-helper
Crypto News Assistant,I provide the latest crypto news.,"Marketing, Website",https://chat.openai.com/g/g-3uNiNHGOe-crypto-news-assistant
DesignerGPT,Creates and hosts beautiful websites,Website,https://chat.openai.com/g/g-2Eo3NxuS7-designergpt
Palette Creator,A color palette generator offering 5 colors with hex codes and images.,Website,https://chat.openai.com/g/g-JSjKsEC8t-palette-creator
TLDR,I create succinct summaries for your text large or small.,Productivity,https://chat.openai.com/g/g-NuY09iBzI-tldr
The Wiki Wizard,Your personal Wikipedia guide.,Productivity,https://chat.openai.com/g/g-nAxHGldzZ-the-wiki-wizard
ELIX,Simplifies complex topics into easy language.,Productivity,https://chat.openai.com/g/g-qsiyKcN9N-elix
Travel Guru,Your go-to guide for global travel insights.,Market research,https://chat.openai.com/g/g-VRjFkxEYs-travel-guru
Cyber Seeker,I'm a GPT-guided text based scavenger hunt!,Productivity,https://chat.openai.com/g/g-ULaaKDrNk-cyber-seeker
Mosaic Explorer,It generates mosaics of the most famous exports for a given region (country / city... etc) via DALLE3,Productivity,https://chat.openai.com/g/g-WH9hhPtFd-mosaic-explorer
Fashion News,The #1 source for luxury fashion news.,"Marketing, Website",https://chat.openai.com/g/g-YppedtzBf-fashion-news
YT Video Transcripts,Fetch any YouTube video transcript for further use in summarization/ Q&A/ function-calling and more!,Productivity,https://chat.openai.com/g/g-mMR39V6Vd-yt-transcripts
Wisdom of Omaha,Investor duo giving timeless wisdom.,Business advice,https://chat.openai.com/g/g-KJ2a8tDDA-wisdom-of-omaha
Second novel writer,Tell me your story and I'll reconstruct it.,Productivity,https://chat.openai.com/g/g-pxwqwHijr-second-novel-writer
Resume Wizard,I assist with resume creation.,Productivity,https://chat.openai.com/g/g-FjTpi9TTQ-resume-wizard
Inbox Companion,Your go-to assistant for all email needs.,Productivity,https://chat.openai.com/g/g-QsBMS1D4o-inbox-companion
Node.js / Javascript Interpreter,Executes Node.js/JavaScript & Python code,Productivity,https://chat.openai.com/g/g-iTjSueJsa-node-js-javascript-interpreter
Sticker Wizard,Converts photos to stickers,Productivity,https://chat.openai.com/g/g-m1oSk2vJp-sticker-wizard
Understood Work,Assistant that provides clear action plans.,Productivity,https://chat.openai.com/g/g-yXOqH40Z5-understood-work
Make Academy Guide,Make Academy Guide,Productivity,https://chat.openai.com/g/g-AAADTqtbB-make-academy-guide
Ask Dad,I guide step-by-step to complete tasks with a dad joke for good measure!,Productivity,https://chat.openai.com/g/g-4J2ukQnwl-ask-dad
Devil's Advocate,I kindly challenge your views.,Productivity,https://chat.openai.com/g/g-YztHbXmhQ-devil-s-advocate
